Gemeente,Provincie,Stemmen op coalitie,Stemmen op PVV,Inwoners,Benzine,Diesel,Alles elektrisch,Aardgas,Alcohol,Elektriciteit,Hybride,Hybride met stekker,LNG,LPG,Waterstof,Bevolkingsdichtheid,Huishoudgrootte,Koopwoningen,Huurwoningen,Huurwoningen corporatie,Huurwoningen overig,WOZ,Gemeentenaam Allecijfers,Regio's,predicted_electric
Druten,Gelderland,0.68,0.29,19505,68%,20%,10.78,0%,0%,"3,11%","7,40%","0,27%",0%,"1,03%",0%,522,"2,29",65.6,"34,4","22,3","12,1",368,Gemeente Druten,Druten,10.491802280816414
Duiven,Gelderland,0.66,0.27,24937,70%,15%,13.4,0%,0%,"3,56%","9,40%","0,44%",0%,"0,93%",0%,734,"2,27",67.1,"32,8","26,2","6,6",354,Gemeente Duiven,Duiven,10.4151115051382
Echt-Susteren,Limburg,0.71,0.38,31967,73%,15%,9.54,0%,0%,"2,04%","7,20%","0,30%",0%,"1,78%",0%,311,"2,13",70.4,"29,5","18,8","10,7",303,Gemeente Echt-Susteren,Echt-Susteren,9.205401708333506
Edam-Volendam,Noord-Holland,0.76,0.43,36760,63%,21%,14.94,0%,0%,"3,32%",11%,"0,62%",0%,"0,75%",0%,680,"2,36",77.1,"22,9","17,3","5,6",409,Gemeente Edam-Volendam,Edam-Volendam,11.57424649231422
Ede,Gelderland,0.48,0.19,122012,63%,22%,13.26,"0,16%",0%,"4,84%","7,70%","0,72%",0%,"1,24%","0,08%",388,"2,3",64.6,"35,3","20,7","14,6",414,Gemeente Ede,Ede,13.081056071943152
Eemnes,Utrecht,0.64,0.24,9598,68%,18%,12.66,0%,0%,"3,92%",8%,"0,74%",0%,"1,16%",0%,314,"2,29",71.6,"27,9","22,3","5,6",526,Gemeente Eemnes,Eemnes,13.681264601505529
Eemsdelta,Groningen,0.62,0.27,45394,71%,20%,8.96,0%,0%,"1,61%","7,20%","0,15%",0%,"0,71%",0%,168,"2,08",56.6,"43,4","31,2","12,2",229,Gemeente Eemsdelta,Eemsdelta,7.894507927425445
Eersel,Noord-Brabant,0.66,0.23,20004,67%,21%,11.18,0%,0%,"3,09%","7,50%","0,59%",0%,"0,91%",0%,245,"2,31",73.8,"26,2","16,3","9,9",485,Gemeente Eersel,Eersel,12.279046991338362
Eijsden-Margraten,Limburg,0.63,0.25,25991,73%,14%,11.16,0%,0%,"2,47%","8,40%","0,29%",0%,"0,93%",0%,336,"2,24",76.3,"23,5","10,2","13,3",385,Gemeente Eijsden-Margraten,Eijsden-Margraten,10.674372601467203
Eindhoven,Noord-Brabant,0.48,0.2,243730,70%,15%,13.66,"0,01%",0%,"4,41%","8,60%","0,65%",0%,"1,01%",0%,2800,"1,89",43.8,"56,2","36,2",20,363,Gemeente Eindhoven,Eindhoven,14.944784179372313
Elburg,Gelderland,0.57,0.25,24037,71%,20%,8.06,0%,0%,"2,30%","5,10%","0,66%",0%,"1,60%",0%,375,"2,43",65.3,"34,6","26,1","8,5",363,Gemeente Elburg,Elburg,11.312523189908127
Emmen,Drenthe,0.7,0.36,108765,70%,20%,8.43,0%,0%,"1,60%","6,30%","0,53%",0%,"1,29%",0%,326,"2,13",62.7,"37,3","27,7","9,6",251,Gemeente Emmen,Emmen,8.202672958120457
Enkhuizen,Noord-Holland,0.58,0.25,18885,71%,18%,9.39,0%,0%,"2,29%","6,50%","0,60%",0%,"1,64%",0%,1492,"2,1",61.0,"38,9","28,4","10,5",321,Gemeente Enkhuizen,Enkhuizen,11.446688794635481
Enschede,Overijssel,0.62,0.23,161235,75%,14%,9.76,0%,0%,"2,32%",7%,"0,44%",0%,"0,97%",0%,1149,"1,94",48.1,"51,9",36,"15,9",296,Gemeente Enschede,Enschede,10.168784785125693
Epe,Gelderland,0.63,0.25,33283,69%,20%,9.57,0%,0%,"2,64%","6,30%","0,63%",0%,"1,36%",0%,212,"2,26",64.7,"35,2","27,2",8,449,Gemeente Epe,Epe,12.284373495101612
Ermelo,Gelderland,0.53,0.19,27496,67%,21%,10.39,0%,0%,"2,97%","6,70%","0,72%","0,08%","1,33%",0%,325,"2,25",62.0,"37,7",24,"13,7",441,Gemeente Ermelo,Ermelo,13.024126137005265
Etten-Leur,Noord-Brabant,0.67,0.3,44578,72%,15%,12.38,0%,0%,"3,41%","8,50%","0,47%",0%,"0,69%",0%,818,"2,24",63.7,"36,3","27,4","8,9",355,Gemeente Etten-Leur,Etten-Leur,10.773119217944497
Geertruidenberg,Noord-Brabant,0.72,0.37,22099,71%,17%,11.39,0%,0%,"3,05%","7,80%","0,54%",0%,"0,96%",0%,829,"2,21",62.1,"37,9","31,3","6,6",346,Gemeente Geertruidenberg,Geertruidenberg,10.653876568978337
Geldrop-Mierlo,Noord-Brabant,0.62,0.28,40441,71%,16%,11.94,0%,0%,"3,33%","8,10%","0,51%",0%,"1,02%",0%,1313,"2,19",65.2,"34,8","26,3","8,5",389,Gemeente Geldrop-Mierlo,Geldrop-Mierlo,12.438348151729652
Gemert-Bakel,Noord-Brabant,0.69,0.31,31383,67%,23%,9.02,0%,0%,"3,01%","5,70%","0,31%",0%,"1,21%",0%,258,"2,32",68.6,"31,3","21,5","9,8",407,Gemeente Gemert-Bakel,Gemert-Bakel,11.08760095249555
Gennep,Limburg,0.65,0.29,17764,70%,20%,8.55,"0,26%",0%,"2,58%","5,50%","0,47%",0%,"1,70%",0%,374,"2,17",66.1,"33,8",24,"9,8",352,Gennep,Gennep,10.377645468091366
Gilze en Rijen,Noord-Brabant,0.65,0.29,26815,69%,17%,13.05,0%,0%,"2,89%","9,70%","0,46%",0%,"0,95%",0%,418,"2,27",64.4,"35,4","28,3","7,1",368,Gemeente Gilze en Rijen,Gilze en Rijen,10.82134900651271
